Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Are extra-ritual in-group markers present:,5161,(Intercept),0.46,9e-4,1,,372.35,0.65,0.0025,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_temp_avg,0.09,0.17,1,,372.35,0.07,0.53,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_prep_avg,-0.15,0.16,1,,372.35,-0.23,0.1,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_prep_var,0.02,0.37,1,,372.35,0.01,0.76,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,elevation,0.02,0.87,1,,372.35,-0.12,0.42,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,mammals,-0.1,0.3,1,,372.35,0.11,0.64,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,plants,0.04,0.61,1,,372.35,-0.09,0.65,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,dist_coastline,-0.05,0.74,1,,372.35,-0.13,0.49,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,dist_freshwater,0,0.62,1,,372.35,-0,0.19,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,mammals:plants,-0.02,0.83,1,,372.35,-0.12,0.55,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_prep_avg:mammals,0.08,0.34,1,,372.35,-0.08,0.72,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_prep_avg:plants,-0.05,0.44,1,,372.35,0.06,0.66,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_temp_avg:mammals,-0.01,0.86,1,,372.35,0.09,0.49,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_temp_avg:elevation,0.02,0.79,1,,372.35,-0.05,0.61,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_prep_avg:start_prep_var,0.03,0.062,1,,372.35,0.01,0.54,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_prep_var:dist_coastline,0.03,0.3,1,,372.35,0.03,0.29,1,,279.48,-,-,-,-,-,-,-,-,-,-
Are extra-ritual in-group markers present:,5161,start_prep_avg:mammals:plants,0.06,0.37,1,,372.35,0.14,0.27,1,,279.48,-,-,-,-,-,-,-,-,-,-
