Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Does the group employ fictive kinship terminology:,5170,1,1,1.03,1.06,1.07,,,,,
Does the group employ fictive kinship terminology:,5170,1,2,1.22,1.06,1.07,1.19,,,,
Does the group employ fictive kinship terminology:,5170,1,3,1.26,1.29,1.12,1.24,1.33,,,
Does the group employ fictive kinship terminology:,5170,1,4,1.61,1.29,1.13,1.26,2.17,2.11,,
Does the group employ fictive kinship terminology:,5170,1,5,1.62,1.3,1.15,1.27,2.18,2.14,1.05,
Does the group employ fictive kinship terminology:,5170,1,6,1.62,1.33,1.23,1.9,2.24,2.15,1.06,1.82
Does the group employ fictive kinship terminology:,5170,2,1,1.05,1.09,1.13,,,,,
Does the group employ fictive kinship terminology:,5170,2,2,1.32,1.09,1.13,1.27,,,,
Does the group employ fictive kinship terminology:,5170,2,3,1.61,2.79,1.16,1.34,2.85,,,
Does the group employ fictive kinship terminology:,5170,2,4,1.89,3.22,1.16,1.36,3.38,2.77,,
Does the group employ fictive kinship terminology:,5170,2,5,1.89,3.23,1.17,1.36,3.38,2.79,1.02,
Does the group employ fictive kinship terminology:,5170,2,6,1.91,3.26,1.28,2.05,3.49,2.82,1.03,1.89
Does the group employ fictive kinship terminology:,5170,3,1,/,/,/,,,,,
Does the group employ fictive kinship terminology:,5170,3,2,/,/,/,/,,,,
Does the group employ fictive kinship terminology:,5170,3,3,/,/,/,/,/,,,
Does the group employ fictive kinship terminology:,5170,3,4,/,/,/,/,/,/,,
Does the group employ fictive kinship terminology:,5170,3,5,/,/,/,/,/,/,/,
Does the group employ fictive kinship terminology:,5170,3,6,/,/,/,/,/,/,/,/
Does the group employ fictive kinship terminology:,5170,4,1,1.25,1.86,1.81,,,,,
Does the group employ fictive kinship terminology:,5170,4,2,1.87,2.42,3.85,3.2,,,,
Does the group employ fictive kinship terminology:,5170,4,3,,,,,,,,
Does the group employ fictive kinship terminology:,5170,4,4,,,,,,,,
Does the group employ fictive kinship terminology:,5170,4,5,,,,,,,,
Does the group employ fictive kinship terminology:,5170,4,6,,,,,,,,
