Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Are formal burials present:,4821,(Intercept),0.74,1.8999999999999994e-90,2.3999999999999995e-87,***,378.5,0.75,6.999999999999999e-55,8.7e-52,***,252.8,0.88,8.5e-8,1.1e-4,***,54.03,0.92,7.1e-9,8.8e-6,***,58.66
Are formal burials present:,4821,start_temp_avg,-0.03,0.26,1,,378.5,-0.03,0.52,1,,252.8,-0.02,0.79,1,,54.03,-0.01,0.83,1,,58.66
Are formal burials present:,4821,start_prep_avg,-0.04,0.12,1,,378.5,-0.06,0.12,1,,252.8,-0,0.99,1,,54.03,0.04,0.72,1,,58.66
Are formal burials present:,4821,start_prep_var,0.07,0.0039,1,,378.5,0.09,0.0017,1,,252.8,-0.08,0.82,1,,54.03,-0.21,0.53,1,,58.66
Are formal burials present:,4821,elevation,-0.02,0.55,1,,378.5,-0.03,0.41,1,,252.8,0.06,0.33,1,,54.03,0.07,0.25,1,,58.66
