Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Are formal burials present:,4821,1,1,1,1.03,1.03,,,,,
Are formal burials present:,4821,1,2,1.2,1.03,1.03,1.2,,,,
Are formal burials present:,4821,1,3,1.23,1.22,1.06,1.22,1.21,,,
Are formal burials present:,4821,1,4,1.6,1.22,1.08,1.29,1.83,1.91,,
Are formal burials present:,4821,1,5,1.66,1.22,1.08,1.29,1.92,1.99,1.07,
Are formal burials present:,4821,1,6,1.66,1.23,1.1,1.55,2.01,2.13,1.08,1.39
Are formal burials present:,4821,2,1,1.02,1.06,1.07,,,,,
Are formal burials present:,4821,2,2,1.26,1.07,1.07,1.24,,,,
Are formal burials present:,4821,2,3,1.58,3.11,1.12,1.35,3.23,,,
Are formal burials present:,4821,2,4,1.97,3.41,1.14,1.39,4.03,2.91,,
Are formal burials present:,4821,2,5,1.97,3.41,1.17,1.39,4.11,2.93,1.06,
Are formal burials present:,4821,2,6,1.97,3.41,1.24,1.95,4.13,2.93,1.07,1.61
Are formal burials present:,4821,3,1,1.06,3.04,2.93,,,,,
Are formal burials present:,4821,3,2,1.54,3.26,3.06,1.42,,,,
Are formal burials present:,4821,3,3,1.59,3.96,3.61,1.6,1.23,,,
Are formal burials present:,4821,3,4,2.09,4,3.66,1.88,1.28,1.5,,
Are formal burials present:,4821,3,5,2.29,3.98,3.62,1.86,1.39,1.75,1.26,
Are formal burials present:,4821,3,6,2.34,4.02,3.63,2.23,1.81,1.92,1.28,1.56
Are formal burials present:,4821,4,1,1.05,2.6,2.53,,,,,
Are formal burials present:,4821,4,2,1.49,2.74,2.6,1.42,,,,
Are formal burials present:,4821,4,3,1.55,3.2,2.87,1.53,1.22,,,
Are formal burials present:,4821,4,4,1.98,3.2,2.87,1.71,1.25,1.45,,
Are formal burials present:,4821,4,5,2.16,3.21,2.88,1.73,1.36,1.65,1.25,
Are formal burials present:,4821,4,6,2.22,3.34,2.94,2.05,1.73,1.82,1.26,1.52
