Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Are grave goods present:,4814,(Intercept),0.46,2.3e-9,4.1e-6,***,475.64,0.26,0.011,1,,325.69,1.79,0.55,1,,125.73,2.71,0.33,1,,134.23
Are grave goods present:,4814,start_temp_avg,-0.1,0.05,1,,475.64,-0.29,6.7e-4,1,,325.69,-0.1,0.67,1,,125.73,-0.07,0.69,1,,134.23
Are grave goods present:,4814,start_prep_avg,0.05,0.4,1,,475.64,0.17,0.088,1,,325.69,0.27,0.91,1,,125.73,0.95,0.68,1,,134.23
Are grave goods present:,4814,start_prep_var,-0,0.76,1,,475.64,0,0.89,1,,325.69,-0.16,0.72,1,,125.73,-0.28,0.48,1,,134.23
Are grave goods present:,4814,elevation,-0.05,0.55,1,,475.64,-0.26,0.038,1,,325.69,-0.23,0.3,1,,125.73,-0.13,0.51,1,,134.23
Are grave goods present:,4814,mammals,0.01,0.83,1,,475.64,-0.31,0.047,1,,325.69,0.19,0.55,1,,125.73,0.17,0.62,1,,134.23
Are grave goods present:,4814,plants,-0.03,0.5,1,,475.64,-0.03,0.81,1,,325.69,0.11,0.65,1,,125.73,0.03,0.91,1,,134.23
Are grave goods present:,4814,dist_coastline,-0.09,0.26,1,,475.64,-0.21,0.015,1,,325.69,-0.1,0.89,1,,125.73,0.08,0.9,1,,134.23
Are grave goods present:,4814,dist_freshwater,0,0.26,1,,475.64,-0,0.47,1,,325.69,-0,0.25,1,,125.73,-0,0.34,1,,134.23
Are grave goods present:,4814,mammals:plants,0.1,0.042,1,,475.64,-0.06,0.64,1,,325.69,0.02,0.88,1,,125.73,0.04,0.79,1,,134.23
Are grave goods present:,4814,start_prep_avg:mammals,-0.07,0.16,1,,475.64,0.43,0.0049,1,,325.69,-0.09,0.77,1,,125.73,-0.05,0.87,1,,134.23
Are grave goods present:,4814,start_prep_avg:plants,0.04,0.43,1,,475.64,-0.08,0.34,1,,325.69,0.05,0.85,1,,125.73,0.05,0.87,1,,134.23
Are grave goods present:,4814,start_temp_avg:mammals,0.01,0.87,1,,475.64,-0.12,0.24,1,,325.69,-0.07,0.55,1,,125.73,-0.04,0.7,1,,134.23
Are grave goods present:,4814,start_temp_avg:elevation,-0.04,0.44,1,,475.64,-0.2,0.016,1,,325.69,0.25,0.28,1,,125.73,0.11,0.52,1,,134.23
Are grave goods present:,4814,start_prep_avg:start_prep_var,0,0.86,1,,475.64,0,0.86,1,,325.69,0,0.99,1,,125.73,-0.06,0.85,1,,134.23
Are grave goods present:,4814,start_prep_var:dist_coastline,0.01,0.56,1,,475.64,0.01,0.68,1,,325.69,0.01,0.93,1,,125.73,-0.02,0.87,1,,134.23
Are grave goods present:,4814,start_prep_avg:mammals:plants,-0.07,0.11,1,,475.64,-0.01,0.91,1,,325.69,0.03,0.87,1,,125.73,0.03,0.89,1,,134.23
