Question,Question ID,Variable,coefficients_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,adjust_p_value_4,sig_4,AIC_4
Are sacred sites oriented to environmental features:,4761,(Intercept),0.78,1.1e-6,***,241.97,0.82,0.016,*,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_temp_avg,0.15,1,,241.97,0.09,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_prep_avg,0.13,1,,241.97,0.04,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_prep_var,-0.01,1,,241.97,-0.01,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,elevation,0.17,1,,241.97,0.17,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,mammals,-0.15,1,,241.97,0.25,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,plants,-0.03,1,,241.97,-0.16,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,dist_coastline,-0.01,1,,241.97,-0.07,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,dist_freshwater,-0,1,,241.97,0,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,mammals:plants,0.07,1,,241.97,0.01,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_prep_avg:mammals,-0.05,1,,241.97,-0.21,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_prep_avg:plants,0.04,1,,241.97,0.18,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_temp_avg:mammals,-0.02,1,,241.97,0.07,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_temp_avg:elevation,0.05,1,,241.97,0.03,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_prep_avg:start_prep_var,0,1,,241.97,0.01,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_prep_var:dist_coastline,-0,1,,241.97,-0.01,1,,170.63,-,-,-,-,-,-,-,-
Are sacred sites oriented to environmental features:,4761,start_prep_avg:mammals:plants,0.06,1,,241.97,-0.01,1,,170.63,-,-,-,-,-,-,-,-
