Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
A supreme high god is present:,4828,(Intercept),0.81,1.5999999999999999e-31,2.9e-28,***,469.03,0.95,1.6000000000000002e-22,2.8e-19,***,306.82,-1.12,0.75,1,,146.77,-1.54,0.57,1,,156.63
A supreme high god is present:,4828,start_temp_avg,0,0.94,1,,469.03,0.03,0.67,1,,306.82,0.21,0.31,1,,146.77,0.18,0.27,1,,156.63
A supreme high god is present:,4828,start_prep_avg,0.01,0.84,1,,469.03,-0.05,0.54,1,,306.82,-1.53,0.54,1,,146.77,-2,0.34,1,,156.63
A supreme high god is present:,4828,start_prep_var,-0,0.85,1,,469.03,-0,0.6,1,,306.82,0.26,0.61,1,,146.77,0.32,0.41,1,,156.63
A supreme high god is present:,4828,elevation,0.04,0.48,1,,469.03,0.1,0.29,1,,306.82,0.23,0.32,1,,146.77,0.2,0.33,1,,156.63
A supreme high god is present:,4828,mammals,0,0.96,1,,469.03,0.17,0.19,1,,306.82,-0.28,0.24,1,,146.77,-0.26,0.24,1,,156.63
A supreme high god is present:,4828,plants,-0.05,0.2,1,,469.03,-0.2,0.056,1,,306.82,-0.19,0.4,1,,146.77,-0.17,0.45,1,,156.63
A supreme high god is present:,4828,dist_coastline,0.04,0.58,1,,469.03,-0,0.98,1,,306.82,0.45,0.46,1,,146.77,0.2,0.73,1,,156.63
A supreme high god is present:,4828,dist_freshwater,-0,0.46,1,,469.03,-0,0.081,1,,306.82,0,0.56,1,,146.77,0,0.75,1,,156.63
A supreme high god is present:,4828,mammals:plants,0.03,0.46,1,,469.03,-0.19,0.1,1,,306.82,0.37,0.092,1,,146.77,0.37,0.089,1,,156.63
A supreme high god is present:,4828,start_prep_avg:mammals,0.01,0.81,1,,469.03,-0.14,0.28,1,,306.82,-0.09,0.69,1,,146.77,-0.12,0.55,1,,156.63
A supreme high god is present:,4828,start_prep_avg:plants,-0.03,0.33,1,,469.03,0.15,0.028,1,,306.82,-0.09,0.71,1,,146.77,-0.14,0.5,1,,156.63
A supreme high god is present:,4828,start_temp_avg:mammals,-0.03,0.44,1,,469.03,-0.14,0.14,1,,306.82,0.03,0.83,1,,146.77,0.01,0.94,1,,156.63
A supreme high god is present:,4828,start_temp_avg:elevation,0.1,0.019,1,,469.03,0.1,0.12,1,,306.82,0.15,0.23,1,,146.77,0.15,0.18,1,,156.63
A supreme high god is present:,4828,start_prep_avg:start_prep_var,0,0.62,1,,469.03,-0,0.79,1,,306.82,0.23,0.51,1,,146.77,0.29,0.31,1,,156.63
A supreme high god is present:,4828,start_prep_var:dist_coastline,-0.01,0.47,1,,469.03,-0.01,0.37,1,,306.82,-0.08,0.43,1,,146.77,-0.04,0.64,1,,156.63
A supreme high god is present:,4828,start_prep_avg:mammals:plants,0.04,0.3,1,,469.03,0.15,0.016,1,,306.82,0.24,0.36,1,,146.77,0.3,0.25,1,,156.63
