Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Are grave goods present:,4814,(Intercept),0.51,9e-45,1.1e-41,***,440.65,0.56,3.9999999999999995e-33,5.0000000000000004e-30,***,282.46,0.95,0.0016,1,,61.08,1.22,9.4e-6,0.012,*,67.63
Are grave goods present:,4814,start_temp_avg,-0.01,0.79,1,,440.65,-0.07,0.077,1,,282.46,0.04,0.61,1,,61.08,0.05,0.52,1,,67.63
Are grave goods present:,4814,start_prep_avg,-0.01,0.76,1,,440.65,-0.11,0.0081,1,,282.46,0.37,0.16,1,,61.08,0.65,0.0043,1,,67.63
Are grave goods present:,4814,start_prep_var,0.01,0.84,1,,440.65,0.03,0.26,1,,282.46,-0.52,0.46,1,,61.08,-1.3,0.026,1,,67.63
