Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Are sacred sites oriented to environmental features:,4761,1,1,1,1.02,1.02,,,,,
Are sacred sites oriented to environmental features:,4761,1,2,1.23,1.03,1.03,1.23,,,,
Are sacred sites oriented to environmental features:,4761,1,3,1.23,1.16,1.02,1.24,1.15,,,
Are sacred sites oriented to environmental features:,4761,1,4,1.56,1.17,1.03,1.27,1.69,1.8,,
Are sacred sites oriented to environmental features:,4761,1,5,1.64,1.18,1.05,1.27,1.74,1.8,1.12,
Are sacred sites oriented to environmental features:,4761,1,6,1.64,1.18,1.12,1.56,1.83,1.94,1.15,1.5
Are sacred sites oriented to environmental features:,4761,2,1,1.02,1.04,1.03,,,,,
Are sacred sites oriented to environmental features:,4761,2,2,1.34,1.06,1.04,1.36,,,,
Are sacred sites oriented to environmental features:,4761,2,3,1.51,2.2,1.02,1.43,2.22,,,
Are sacred sites oriented to environmental features:,4761,2,4,1.82,2.53,1.03,1.57,2.59,2.28,,
Are sacred sites oriented to environmental features:,4761,2,5,1.83,2.66,1.1,1.58,2.71,2.28,1.15,
Are sacred sites oriented to environmental features:,4761,2,6,1.85,2.64,1.21,2.03,2.68,2.28,1.16,1.48
Are sacred sites oriented to environmental features:,4761,3,1,1.2,6.48,6,,,,,
Are sacred sites oriented to environmental features:,4761,3,2,,,,,,,,
Are sacred sites oriented to environmental features:,4761,3,3,,,,,,,,
Are sacred sites oriented to environmental features:,4761,3,4,,,,,,,,
Are sacred sites oriented to environmental features:,4761,3,5,,,,,,,,
Are sacred sites oriented to environmental features:,4761,3,6,,,,,,,,
Are sacred sites oriented to environmental features:,4761,4,1,1.01,2.79,2.8,,,,,
Are sacred sites oriented to environmental features:,4761,4,2,1.45,2.79,2.89,1.48,,,,
Are sacred sites oriented to environmental features:,4761,4,3,1.48,3.3,3.1,1.32,1.36,,,
Are sacred sites oriented to environmental features:,4761,4,4,2.07,3.31,3.16,1.33,1.37,1.59,,
Are sacred sites oriented to environmental features:,4761,4,5,2.36,3.61,3.83,1.57,1.77,1.78,2.22,
Are sacred sites oriented to environmental features:,4761,4,6,2.37,6.35,7.09,2.44,2.85,3.11,2.49,3.7
