Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Are formal burials present:,4821,(Intercept),0.76,1.4999999999999997e-77,1.9e-74,***,354.31,0.68,6.4000000000000005e-28,7.999999999999999e-25,***,219.07,0.85,4.2e-6,0.0052,**,64.63,0.94,3.8e-7,4.8e-4,***,69.73
Are formal burials present:,4821,start_temp_avg,-0.08,0.028,1,,354.31,-0.14,0.0032,1,,219.07,-0.01,0.89,1,,64.63,-0.01,0.86,1,,69.73
Are formal burials present:,4821,start_prep_avg,-0.01,0.66,1,,354.31,0.08,0.18,1,,219.07,-0.03,0.85,1,,64.63,0.07,0.62,1,,69.73
Are formal burials present:,4821,start_prep_var,0.04,0.13,1,,354.31,0.03,0.35,1,,219.07,0.02,0.95,1,,64.63,-0.25,0.48,1,,69.73
Are formal burials present:,4821,elevation,-0.03,0.33,1,,354.31,-0.03,0.37,1,,219.07,0.11,0.18,1,,64.63,0.12,0.17,1,,69.73
Are formal burials present:,4821,plants,-0.07,0.052,1,,354.31,-0.26,2.7e-4,0.17,,219.07,-0,0.97,1,,64.63,-0.03,0.68,1,,69.73
Are formal burials present:,4821,mammals,0.09,0.039,1,,354.31,0.15,0.07,1,,219.07,0.01,0.81,1,,64.63,0.04,0.49,1,,69.73
Are formal burials present:,4821,dist_freshwater,0.01,0.92,1,,354.31,-0.21,0.27,1,,219.07,-0.2,0.14,1,,64.63,-0.16,0.25,1,,69.73
Are formal burials present:,4821,dist_coastline,-0.04,0.27,1,,354.31,-0.13,0.016,1,,219.07,-0.01,0.81,1,,64.63,-0.02,0.74,1,,69.73
