Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Does membership in this religious group require celibacy (full sexual abstinence):,5121,(Intercept),0.17,1.8e-10,2.2e-7,***,243.17,0.18,2.4e-7,3e-4,***,169.55,-0.03,0.7,1,,-1.49,-0.05,0.49,1,,-4.09
Does membership in this religious group require celibacy (full sexual abstinence):,5121,start_temp_avg,-0.01,0.69,1,,243.17,-0.08,0.039,1,,169.55,0.02,0.52,1,,-1.49,0.02,0.51,1,,-4.09
Does membership in this religious group require celibacy (full sexual abstinence):,5121,start_prep_avg,0.04,0.12,1,,243.17,0.01,0.79,1,,169.55,-0.06,0.51,1,,-1.49,-0.07,0.31,1,,-4.09
Does membership in this religious group require celibacy (full sexual abstinence):,5121,start_prep_var,0.06,0.11,1,,243.17,0.05,0.23,1,,169.55,0.14,0.53,1,,-1.49,0.19,0.27,1,,-4.09
