Question,Question ID,Variable,coefficients_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,adjust_p_value_4,sig_4,AIC_4
Are formal burials present:,4821,(Intercept),0.69,2.4e-21,***,426.55,0.53,1.8e-6,***,284.85,-1.03,1,,127.6,0.92,1,,131.2
Are formal burials present:,4821,start_temp_avg,-0.06,1,,426.55,-0.24,0.73,,284.85,-0.13,1,,127.6,-0.16,1,,131.2
Are formal burials present:,4821,start_prep_avg,-0.03,1,,426.55,0.18,1,,284.85,-1.49,1,,127.6,-0.6,1,,131.2
Are formal burials present:,4821,start_prep_var,0.01,1,,426.55,0.01,1,,284.85,0.23,1,,127.6,-0.07,1,,131.2
Are formal burials present:,4821,elevation,0.06,1,,426.55,-0.07,1,,284.85,0.03,1,,127.6,0.06,1,,131.2
Are formal burials present:,4821,mammals,0.02,1,,426.55,-0.12,1,,284.85,0.03,1,,127.6,-0.01,1,,131.2
Are formal burials present:,4821,plants,-0.05,1,,426.55,-0.22,1,,284.85,0.29,1,,127.6,0.26,1,,131.2
Are formal burials present:,4821,dist_coastline,-0.09,1,,426.55,-0.23,1,,284.85,-0.8,1,,127.6,-1.1,1,,131.2
Are formal burials present:,4821,dist_freshwater,0,1,,426.55,-0,1,,284.85,-0,1,,127.6,-0,1,,131.2
Are formal burials present:,4821,mammals:plants,0.07,1,,426.55,-0.03,1,,284.85,0.03,1,,127.6,0.06,1,,131.2
Are formal burials present:,4821,start_prep_avg:mammals,0.06,1,,426.55,0.34,1,,284.85,-0.11,1,,127.6,-0.18,1,,131.2
Are formal burials present:,4821,start_prep_avg:plants,-0.04,1,,426.55,-0.08,1,,284.85,0.21,1,,127.6,0.24,1,,131.2
Are formal burials present:,4821,start_temp_avg:mammals,0.05,1,,426.55,-0.09,1,,284.85,0.03,1,,127.6,0.08,1,,131.2
Are formal burials present:,4821,start_temp_avg:elevation,0.08,1,,426.55,-0.03,1,,284.85,0.01,1,,127.6,-0.02,1,,131.2
Are formal burials present:,4821,start_prep_avg:start_prep_var,0.01,1,,426.55,0.01,1,,284.85,0.15,1,,127.6,0.05,1,,131.2
Are formal burials present:,4821,start_prep_var:dist_coastline,0.01,1,,426.55,0.02,1,,284.85,0.13,1,,127.6,0.17,1,,131.2
Are formal burials present:,4821,start_prep_avg:mammals:plants,-0.02,1,,426.55,0.04,1,,284.85,0.13,1,,127.6,0.18,1,,131.2
