Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Are grave goods present:,4814,(Intercept),0.54,5.2e-39,6.5e-36,***,410.56,0.5,7e-14,8.7e-11,***,266.61,-,-,-,-,-,1.09,4.3e-5,0.053,,68.46
Are grave goods present:,4814,start_temp_avg,-0.07,0.12,1,,410.56,-0.08,0.17,1,,266.61,-,-,-,-,-,-0.11,0.26,1,,68.46
Are grave goods present:,4814,start_prep_avg,-0,0.98,1,,410.56,-0,0.95,1,,266.61,-,-,-,-,-,0.58,0.0051,1,,68.46
Are grave goods present:,4814,start_prep_var,-0.01,0.66,1,,410.56,0.02,0.64,1,,266.61,-,-,-,-,-,-1.03,0.061,1,,68.46
Are grave goods present:,4814,elevation,-0.02,0.65,1,,410.56,-0.03,0.49,1,,266.61,-,-,-,-,-,-0.12,0.2,1,,68.46
Are grave goods present:,4814,plants,-0.08,0.091,1,,410.56,-0.01,0.9,1,,266.61,-,-,-,-,-,0.02,0.77,1,,68.46
Are grave goods present:,4814,mammals,0.07,0.17,1,,410.56,-0.16,0.12,1,,266.61,-,-,-,-,-,0.2,0.0033,1,,68.46
Are grave goods present:,4814,dist_freshwater,0.04,0.62,1,,410.56,-0.17,0.45,1,,266.61,-,-,-,-,-,-0.2,0.19,1,,68.46
