Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Fishing,5227_3,(Intercept),0.43,3.6e-15,4.5e-12,***,278.51,0.41,0.038,1,,167.76,0.36,0.099,1,,91.85,0.48,0.036,1,,100.23
Fishing,5227_3,start_temp_avg,-0.05,0.35,1,,278.51,-0.13,0.07,1,,167.76,-0.12,0.3,1,,91.85,-0.05,0.62,1,,100.23
Fishing,5227_3,start_prep_avg,-0.04,0.31,1,,278.51,0.09,0.29,1,,167.76,-0.21,0.27,1,,91.85,-0.03,0.88,1,,100.23
Fishing,5227_3,start_prep_var,-0.1,0.13,1,,278.51,-0.1,0.15,1,,167.76,0.82,0.13,1,,91.85,0.4,0.46,1,,100.23
Fishing,5227_3,elevation,-0.12,0.0079,1,,278.51,-0.13,0.026,1,,167.76,-0.23,0.049,1,,91.85,-0.19,0.11,1,,100.23
Fishing,5227_3,plants,0.06,0.26,1,,278.51,-0.12,0.22,1,,167.76,0.06,0.51,1,,91.85,0.03,0.75,1,,100.23
Fishing,5227_3,mammals,0.03,0.59,1,,278.51,-0.08,0.5,1,,167.76,0.03,0.71,1,,91.85,0.06,0.46,1,,100.23
Fishing,5227_3,dist_freshwater,-0.05,0.76,1,,278.51,0.51,0.55,1,,167.76,-0.21,0.26,1,,91.85,-0.17,0.37,1,,100.23
Fishing,5227_3,dist_coastline,0.02,0.63,1,,278.51,0.01,0.89,1,,167.76,-0.01,0.87,1,,91.85,-0.02,0.82,1,,100.23
