Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Are extra-ritual in-group markers present:,5161,(Intercept),0.53,5.6e-33,7e-30,***,306.13,0.56,1.3e-22,1.6e-19,***,212.19,-,-,-,-,-,1.25,0.0087,1,,25.35
Are extra-ritual in-group markers present:,5161,start_temp_avg,0.07,0.082,1,,306.13,0.06,0.29,1,,212.19,-,-,-,-,-,-0.06,0.64,1,,25.35
Are extra-ritual in-group markers present:,5161,start_prep_avg,0.05,0.21,1,,306.13,-0.02,0.71,1,,212.19,-,-,-,-,-,0.34,0.24,1,,25.35
Are extra-ritual in-group markers present:,5161,start_prep_var,0.01,0.88,1,,306.13,0.02,0.68,1,,212.19,-,-,-,-,-,-0.83,0.29,1,,25.35
Are extra-ritual in-group markers present:,5161,elevation,0.03,0.48,1,,306.13,0,0.91,1,,212.19,-,-,-,-,-,0.1,0.56,1,,25.35
