Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Does the group employ fictive kinship terminology:,5170,(Intercept),0.54,2e-4,0.36,,323.12,0.69,9.7e-4,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_temp_avg,0.07,0.28,1,,323.12,0.05,0.66,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_prep_avg,-0.19,0.15,1,,323.12,-0.29,0.074,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_prep_var,0.01,0.63,1,,323.12,0,0.86,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,elevation,0.11,0.34,1,,323.12,0.08,0.55,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,mammals,-0.06,0.55,1,,323.12,0.15,0.54,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,plants,0.04,0.57,1,,323.12,-0.27,0.19,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,dist_coastline,-0.11,0.58,1,,323.12,-0.1,0.65,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,dist_freshwater,0,0.81,1,,323.12,-0,0.9,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,mammals:plants,0.03,0.71,1,,323.12,-0.32,0.13,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_prep_avg:mammals,0.09,0.29,1,,323.12,-0.01,0.97,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_prep_avg:plants,-0.02,0.7,1,,323.12,0.23,0.11,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_temp_avg:mammals,0.04,0.59,1,,323.12,0.12,0.39,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_temp_avg:elevation,0.01,0.91,1,,323.12,0.01,0.95,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_prep_avg:start_prep_var,0.01,0.52,1,,323.12,-0.01,0.77,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_prep_var:dist_coastline,0.01,0.87,1,,323.12,-0,1,1,,243.63,-,-,-,-,-,-,-,-,-,-
Does the group employ fictive kinship terminology:,5170,start_prep_avg:mammals:plants,0.03,0.7,1,,323.12,0.22,0.084,1,,243.63,-,-,-,-,-,-,-,-,-,-
